Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Beauty,Fragrances,ASDAAF - Ameerat al Arab 50ml,"- ASDAAF - Ameerat al Arab 50ml est un eau de parfum au caractère olfactif oriental floral musqué.
- Ce parfum s'ouvre sur des notes fruitées et fraîches de miel, d'oranges et de notes vertes, offrant une sensation douce et vivifiante. Son cœur dévoile un bouquet floral riche composé de jasmin et de tubéreuse, apportant une touche féminine et élégante. En fond, des accords chaleureux de vanille, d'orris et de bois de santal se mêlent pour créer une profondeur boisée et veloutée.
- Genre et personnalité du parfum : féminin, élégant, raffiné.
- Occasion et type de personne : convient aux moments spéciaux et aux soirées romantiques, idéal pour les femmes appréciant les fragrances orientales sophistiquées.

- Note de tête : miel, oranges, notes vertes
- Note de cœur : jasmin, tubéreuse
- Note de fond : vanille, orris, bois de santal

Fabricant

- Asdaaf

Adresse : Emirates Industrial City, Al Sajaa Industrial Area
Sharjah, Émirats Arabes Unis

Email : 
Email (commercial) :",0,Auction,20,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Ayat - Jumrah Coffee – Eau de Parfum Unisexe 100 ml | Café Gourmand Épicé & Vanille Crémeuse – Parfum Oriental Chaleureux & Addictif,"- Jumrah Coffee – Eau de Parfum Unisexe 100 ml | Café Gourmand Épicé & Vanille Crémeuse – Parfum Oriental Chaleureux & Addictif est un eau de parfum au caractère olfactif oriental, chaleureux et addictif.
- Cette fragrance s'ouvre sur des notes épicées de cannelle, cardamome et gingembre, offrant une sensation de chaleur et d'énergie. Le cœur dévoile des accords gourmands de praliné, fruits confits et fleurs blanches, apportant douceur et élégance. En fond, la vanille, le café, la fève tonka, le benjoin et le musc se mêlent pour créer une base riche et envoûtante.
- Genre et personnalité du parfum : mixte, chaleureux, addictif.
- Occasion et type de personne : soirées, profils raffinés.

Note de tête : cannelle, cardamome, gingembre  
Note de cœur : praliné, fruits confits, fleurs blanches  
Note de fond : vanille, café, fève tonka, benjoin, musc

Fabricant

Ayat Perfumes  
Shamma Plaza 3 - Alcornich Shop 5 Al Khor Street Dubai United Arab Emirates  
Contact : (+33) 761 482020 | contact@ayatperfumes.fr",14,Auction,19,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Black op,,86,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Invictus,"- CP - Invictus 100 ml Paco Rabanne est un parfum au caractère olfactif aromatique aquatique.

Ce parfum s'ouvre sur des notes marines fraîches, suivies de la lavande et du poivre rose, offrant une sensation de fraîcheur vivifiante. Le cœur dévoile des accords de savon, de feuille de violette et de myrte, apportant une dimension propre et élégante. En fond, le musc, le bois de cachemire et le bois de santal confèrent chaleur et profondeur à la composition.

Genre et personnalité du parfum : masculin, élégant, énergique.

Occasion et type de personne : quotidien, homme dynamique.

Note de tête : notes marines, lavande, poivre rose.

Note de cœur : savon, feuille de violette, myrte.

Note de fond : musc, bois de cachemire, bois de santal.

Fabricant

Paco Rabanne

adresse du fabricant à ajouter

[numéro de téléphone à ajouter] | [adresse email à ajouter]",900,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Jadore,,180,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Kalimat,"- CP - Kalimat 50 ml Note 33 est un extrait de parfum au caractère olfactif oriental.
- Ce parfum dévoile une alliance envoûtante de notes épicées et boisées, offrant une expérience sensorielle riche et profonde.
- Genre et personnalité du parfum : unisexe, épicé, boisé.
- Occasion et type de personne : soirée, profil audacieux.

Note de tête : basilic, encens balsamique.
Note de cœur : vanille sucrée.
Note de fond : oud fumé, ambre.

Fabricant

Note 33
adresse du fabricant à ajouter
[numéro de téléphone à ajouter] | [adresse email à ajouter]",100,Auction,7,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Khamra,"- CP - Khamra 50ml Collection Privée Paris est un eau de parfum au caractère olfactif oriental épicé.
Ce parfum s'ouvre sur des notes épicées de cannelle et de noix de muscade, suivies d'un cœur gourmand mêlant les arômes riches des dates et du praliné, avec une touche florale subtile de tubéreuse. En fond, des accords profonds de vanille et de fève de tonka apportent une douceur crémeuse, tandis que les notes boisées et résineuses de myrrhe, de benjoin, d'ambre et de bois d'Akigala ajoutent une touche de mystère et de chaleur, créant une empreinte mémorable et sensuelle.

Genre et personnalité du parfum : unisexe, élégant, sophistiqué.

Occasion et type de personne : soirées élégantes, amateurs de parfums orientaux raffinés.

Note de tête : cannelle, noix de muscade, bergamote.

Note de cœur : dattes, praliné, tubéreuse.

Note de fond : vanille, fève de tonka, myrrhe, benjoin, ambre, bois d'Akigala.

Fabricant

Collection Privée Paris

adresse du fabricant à ajouter

[numéro de téléphone à ajouter] | [adresse email à ajouter]",80,Auction,7,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Krypto,,672,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - La vie,,200,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Madawi,,80,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
